,question1,question2,is_duplicate
60294,Is Red Bull energy drink made by bull sperm?,Does red bull energy drink have bull sperm in it?,1
104515,What is the process to recover permanently deleted e-mails from Gmail?,How do I retrieve gmail mails which are deleted from trash?,0
330820,"What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Bale?","What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Mill?",0
81147,What happens if u delete .misc files in android?,What is the best program for ultra compressing files?,0
128436,Who won the first Clinton-Trump debate? And why?,Who won the 09/26/16 debate? Does it matter?,1
212844,How can I get a PlayStation Plus free trial?,What is claim free trial of Action Fuel Pro?,0
222786,"I want to improve myself everyday, but I'm depressed suddenly. Please help, what can I do?",I think I am suffering from depression. How can I help myself?,0
289185,Is it possible to get a Machine Learning job by studying Udacity's Machine Learning NanoDegree?,How long does it take you to finish the machine learning nanodegree on Udacity？,0
248628,Is it okay to use nested for loops?,How do nested loops work?,0
278615,"If [math]\frac{1}{a} + \frac{1}{b} + \frac{1}{c} =\frac{1}{a+b+c}[/math] where [math]a+b+c \neq 0, abc \neq 0,[/math] what is the value of [math](a+b) (b+c) (c+a)?[/math]","If [math]a, b,[/math] and [math]c[/math] are positive real numbers, and [math]a \lt b + c[/math], how can you prove that [math]\dfrac{a}{1+a} < \dfrac{b}{1+b} + \dfrac{c}{1+c}[/math]?",0
50689,Should I use Photoshop or Illustrator for Web Design?,Why is Photoshop often used for web design over Illustrator or InDesign?,0
313513,Can I make money by uploading videos on YouTube (if I have subscribers)?,How do YouTube Channels make money?,1
104153,Are there any free translator service for translating a short letter in English to Mongolian?,Are there any words in the English language (even contrived) that do not have a proper translation in other languages?,0
62688,How should I not be afraid of anyone?,How can I not be afraid of anything?,0
304031,"House numbers in one side of a street is odd and other side is even, how do we decide which side gets which?",Is 1 an odd or even number?,0
335048,Is there a Drug and Alcohol Rehab Center in Yakutat County AK?,Is there a Drug and Alcohol Rehab Center in Anchorage County AK?,0
31141,How do mom and pop ice cream parlors fare against the big chains?,How big is the hand craft goods industry?,0
268142,What are some nice places to hangout in Pune?,What are the best places to hangout in the weekend in Pune?,1
124920,What are my chances/ How can I improve my chances of getting into an Ivy league or UC school?,How can I improve my chances of being accepted into an Ivy League school?,1
267733,What is it like to have sex with a high-class escort?,What is it like for a guy to have sex for the first time?,0
247111,How do I lose weight faster?,What are the best ways to lose weight?,0
404137,How should one study Marathi literature for the UPSC mains?,How can I get the notes for Kannada literature for UPSC Mains exam?,0
218578,"How does electricity move in the human body? AC, DC or some other way?",How did the first form of electricity come into use? Was it AC or DC?,0
276231,How many hours should a 21 year old sleep in order to be super-productive?,I just turned 25. What are the best pieces of life advice for me?,0
263982,How do I know I exist?,How can I know that I exist?,1
192052,What are the best and worst feelings in the world?,When did you feel like you were the best in the world?,0
385120,Magazine business in India?,Which is the business magazine in India?,1
118958,Is iOS 10 stable?,Why is iOS stable?,0
307384,How do I make friends in San Francisco?,How do I make more hipster friends in San Francisco?,0
135149,How is daily life in North Korea?,How is life really like in North Korea?,1
88131,Why are free radicals generated in a tertiary carbon more stable?,What cyclohexane conformation is more stable? Why is it more stable?,0
321738,"From a constitutional perspective, is Barack Obama a good president?","A teen asked her mom t dye her hair, mom refuse she left the house and didn't come back, mother slapped her she yelled at her mom whys she doing this?",0
173737,How hard is it to get a job at EA?,Is it hard to get a job at EA?,1
294213,How did Rocco's Old-School Tattoo Balm decide to sponsor the L.A. Kings ice girls?,Is Jonathan Bernier ready to be the starting goalie for the Los Angeles Kings?,0
6314,How can I be sure if this girl likes me?,How can I be sure if a girl likes me or not?,0
71509,What is your measure of success?,What is the measure of success?,0
256188,What temperature should an alligator be cooked at?,What temperature should chicken be cooked to?,0
122333,What are the best ways to lose weight fast?,What are the best ways to lose a lot of weight as quickly as possible?,1
306488,What is doom day?,When is the dooms day?,0
68146,"If you have 1$ and you see a hobo on the street and a woman that will sleep with you for 1$, would yoh give it to the hobo or to the woman?","Per a bet with a friend, what do you choose: all the dollars you'll ever need, but you agree to never again do productive work, or be productive and see what you can make of your life?",0
361864,Is there a way to develop photographic memory?,How do you develop photographic memory?,1
130416,How safe is the campus at Texas A&M - Commerce and should anything be done to make it safer?,How safe is the campus at Texas A&M and should anything be done to make it safer?,1
38027,"What does ""in transit"" mean on FedEx tracking?",How often does FedEx tracking update their status?,0
48259,What could be the effect of GST bill on Indian economy?,How will GST boost India's economy?,1
196634,What is Illuminati?,Are the Illuminati real?,0
235055,What is it like to kiss some one with love for the first time?,What was it like being kissed for the first time?,0
26635,What were the two famous open problems that George Dantzig mistook for homework and solved while being a graduate student at Berkeley?,"I am a UC Berkeley student and a Dropbox user, but didn't sign up for the Dropbox Space Race. Is it too late for me to get the free 25GB for two years?",0
192885,What is the dossier system?,What is a dossier?,0
85112,What is the corporate culture like at Citizens Financial? How is the culture different than other companies?,What is the corporate culture like at Arrow Financial? How is the culture different than other companies?,0
211537,"What are some sentence examples using ""subtle""?","What are some examples of sentences using the word ""subtle""?",1
240008,What is the business can I do now that Modi is trying to change India to a cashless economy?,What is the business I can do now that Modi is trying to change India to a cashless economy?,1
167608,Do actors smoke real cigarettes on TV shows and movies?,I smell smoke when I see someone smoking a cigarette in movies or sitcoms. Why is that?,0
324760,What is true love can it ever be found in this selfish world?,What is true love? How to identify it?,0
202107,Where can I physically pick up 1099 and W-2 forms?,How do I prepare a W-2 form for employees?,0
34222,How can one overcome porn addiction?,How do I overcome my pornography addiction?,1
231325,What are some of the toughest cases that the FBI has cracked?,Why did I receive an FBI warning text?,0
220502,How does the economy of India work?,How exactly does the Indian economy work?,1
230735,"Why wasn’t the planet Proxima Centauri b discovered earlier if it’s so close to Earth, while other planets further away were discovered earlier?",How close to Earth would Proxima Centauri have to be for it to be seen by the naked eye?,0
24381,How can I get access to an old Yahoo account if the backup (non-Yahoo) email account that I used to create the account has been deleted?,"I don't remember my password, phone number nor my login details of my previous Yahoo email account. How can I access it?",0
159542,Is the human brain hard wired to be tribal?,Are human baby brains unwired (neuron paths)? Do personalities get wired in with age?,0
177899,My life is based on lies. I am 20 years old and have never kissed a girl or been in a relationship. How can I live normally?,Is it normal that I'm 20 years old and never kissed someone?,0
45103,How many billionares have tattoos?,Does being a billionare mean that your life is happy?,0
280587,What is a default gateway?,What is the default gateway and subnet?,0
183130,What are some really good comedy movies that I can watch?,What is the best comedy movies you have been watched?,1
126092,What's the scariest horror movie you've watched?,What is the scariest movie you've ever seen?,1
52436,How can a Syrian refugee family find a sponsor to resettle to Canada?,Will Jorah the Andal meet up with Lynesse Hightower again later in the series?,0
84017,Can girls have foot fetishes?,Do any women have foot fetishes? Or is that strictly a guy thing?,1
252707,What programming language is mostly used in it industry?,Which programming language is used in software development in the IT industry?,0
403719,"What are the best online resources (videos, blogs, articles) for learning basic economics?","What are some good online resources (videos, blogs, articles) on learning to draw?",0
60171,How do I lose belly fat without doing exercise?,"What are the best ways to reduce and eliminate belly, abdominal, and thigh fat?",0
126820,How is the ISRO interview for the post of Scientist/Engineer 'SC' (electronics)?,How is the ISRO interview for the post of scientist/engineer 'SC' for ECE?,0
376754,What is quoro?,"What is ""☐""?",0
189370,What is the difference between TTA(JE) and JTO in BSNL?,Is BSNL JE (or TTA) a good job for a fresher? What makes it better than an IT job?,0
191797,Who are Palantir's competitors?,Why is Palantir Technologies not profitable?,0
45716,Have you ever seen a student roast a teacher?,Have you ever seen a student get roasted by a teacher?,0
118058,What did Aung Saan Suu Kyi do to deserve Nobel Peace Prize?,Why did Aung Suu San Kyi win the Nobel Peace prize?,1
244675,What is your favorite class in Team Fortress 2 and why?,"What is your favorite tf2 class, and why?",1
22327,What are the best seats for Warriors games at the Oracle Arena?,NBA: What is the best in-game photo of Lebron James?,0
353079,What is some historical evidence that Jesus existed?,What is the evidence for and against historical Jesus?,1
364781,How can I get verified sign for Instagram?,How do I get a verified account on Instagram?,1
318536,Why can’t I make friends in Australia?,How do I quickly make friends with foreigners in Australia?,0
300206,How can I lose 28 pounds in 3 weeks in a safe way?,How can I lose 20 pounds in 3 weeks without feeling inconvenienced or jeopardizing my health?,0
194497,Do employees at Lincoln Electric Holdings have a good work-life balance? Does this differ across positions and departments?,Do employees at Post Holdings have a good work-life balance? Does this differ across positions and departments?,0
248496,Which laptop I should buy?,Which laptop shall I buy?,0
190095,Would you ride in a driver less cab?,Do you have to give tips to the cab if it's a long ride?,0
375257,Will life get better eventually?,Does life get better with time?,1
243360,I have couple of years of experience in IT engineering (Desktop & networking). Shall I switch to Devops engineering or any other Technology?,"Currently I am in electrical engineering first year, shall I change to computer or IT if personally I dont have any particular choice?",0
188984,What is the best programming language I should learn as a beginner?,Which is the best programming language to learn for hacking? What are some books for beginners?,0
154622,What does sex feel like for you?,What does having sex for the first time feel like?,0
103678,How does Quora plan to address the problem where the answer for a question may be outdated after a period of time?  ,Does Quora have a plan for dealing with links in answers (or questions) that become invalid over time? ,1
385529,Why does coffee make me sleepy instead of active?,I like to study but it makes me feel sleepy. Why?,0
331537,What exactly are the tiny stars that we see in the sky at night? Are they same type of stars as our sun?,"Are all the stars in the sky, suns?",0
323320,What is free good circuit simulation software?,Which is the best circuit simulator software which has good user interface too?,0
165414,How can I be less annoyed with people?,How do I annoy people?,0
388937,Who has most followers on Quora Right now?,Which Quora user has the most followers?,1
394879,How do you fix the SSL Connection Error on Google Chrome?,"Why is Quora not responsive on a 21"" Mac screen when using Google Chrome? How can I fix it?",0
212150,How can I delete the suggestion in search instagram?,How do you delete contacts in Instagram?,0
26336,What career advice would you give to someone who wants to become an accountant?,What career advice would you give to someone who wants to become an auditor?,0
357387,What does your homescreen look like?,What does your smartphone's homescreen look like?,1
340625,How do stop doing masturation?,How can I stop masturbations?,1
310431,What are the causes of dog vomiting and watery stool?,What are the causes of dogs vomiting white foam?,0
226507,What are the benefits of PixWords game?,What are the benefits of playing video games?,0
210623,What are the must-read books for software engineers?,What should be the order of books to read for JEE preparations?,0
12992,What are renewable resources? What are some examples?,What is a renewable resource? What are some examples?,1
166336,How should I create website for girlfriend?,What is the easiest way to create a website?,0
236551,What are good gifts for a foreign visitor to bring when they're invited to someone's home in Lesotho for the first time?,What are good gifts for a foreign visitor to bring when they're invited to someone's home in France for the first time?,0
191865,Why are Indian-Americans supporting Donald Trump over Hillary Clinton?,Are Indian Americans supporting Hillary Clinton or Donald Trump more?,0
392379,"What is a sentence with the word ""proclivity""?",What is a sentence with the word predilection? What does it mean?,0
8777,Is it good to have Milk during fever?,Is chocolate milk good for you?,0
161868,What are some good colleges in India that I can still apply to their MBA program for this year’s session?,Which colleges offer one year MBA degrees (not PGP) in India?,0
131882,What are some questions that people like being asked?,What are some questions women like being asked?,0
366240,How much time does Jake Williams spend on Quora a day?,How much time do power users spend on Quora?,0
89206,How can I improve my story writing skills?,How should I improve my writing skill for blogging?,1
351675,"If I already own a book in print, can I get it for free on iBooks?",How can I get free books in Chandigarh?,0
283750,What is the use of the iPad?,What do you use your iPad for?,0
366193,Where can we get pure and raw honey in Bangalore?,Where can I get pure honey in Bangalore?,0
319628,What makes it hard for you to have a tiger as a pet?,Why is having a tiger as a pet illegal?,0
260708,Are there any fascinating unknown facts about IC 814 Hijak?,What was the situation occurred to flight IC 814?,0
303781,How did Wealthfront become so influential on Quora?,Who would you say is the most influential Indian on Quora?,0
10728,What are examples of hygiene hazards in the kitchen?,What is the history of hygiene?,0
226605,"If we switch on a lamp, the light will reach near and far objects at the same time or not and why?",Why doesn't fire travel in the reverse direction and burn all of the oil when we light a lamp?,0
392018,How do you apply for business permit and license?,How do I apply for a business permit license?,1
286439,What is the market size of elevator manufacturer globally?,What is the global market size of moving/relocation services?,0
105837,I live in NY state and formed a Delaware LLC. Do I need to register as a Foreign entity within 120 days of forming the LLC?,"Can you register an LLC in a state without publication requirements, such as DE, but operate from within NY, assuming you have no physical location (Internet-based business) without having to register as a foreign entity in NY?",0
375217,Is it okay to be ambidextrous?,How can one be ambidextrous?,0
239185,How can I track someone using their phone number?,How can I track the exact location of any phone by using the phone number? Location (India)?,1
198447,Which anime has the best ending?,Which animes have the best endings?,1
23305,deleted,Which are some best websites for downloading newly published books/eBooks?,0
166249,What is right way to do sex?,What is the right way to have sex?,1
41422,"What is a good CMS based on PHP and jQuery, for creating a responsive discussion forum that supports desktop and mobile views?",Drupal (CMS): How best to create a full screen transitioning background using Views?,0
125807,"While most of the people are suffering due to demonetisation, why there is hardly any protest?","Where all energy i.e. radiation will go after leaving this universe, is that not against law of conservation?",0
146168,Is Narendra Modi on Quora?,When will Narendra Modi join Quora?,0
65431,What are the benefits of cloud computing?,What are the key benefits of Cloud computing?,1
240629,What are the safety precautions on handling shotguns proposed by the NRA in New Hampshire?,What are the safety precautions on handling shotguns proposed by the NRA in New Jersey?,1
357184,Where Does the Phrase “To Turn the Tables” Come From?,"Where does the phrase ""turn on"" come from?",0
22777,"What is the meaning of ""complexity of organization"" in higher organisms?",How did organisms evolve to need sleep?,0
326954,Why do some vegans try to convert other people to veganism?,Why do vegans/vegetarians try to push people into becoming vegans/vegetarians?,1
352795,Why do some people not use the internet?,Why do people use internet for hours?,0
139682,What are some things new employees should know going into their first day at Rogers?,What are some things new employees should know going into their first day at McDonald's?,0
271105,What's Brendan Fraser's political beliefs?,What's the best movie Brendan Fraser has played in?,0
403662,Why effervescent tablets are cheap in Germany?,Why is food so cheap in Germany compared to France?,0
337469,What does GMOとくとくポイント mean?,"What does ""脑洞大开"" mean?",0
46405,What is Faith Daniels doing now?,Have you been religious and lost your faith? How did you cope?,0
386821,Is it good to be in dark web?,What are the best options for distance MBA in india?,0
311402,How do I classify screw guns?,Why is Mexico screwed up?,0
200396,What is an easy way make money online?,How could I make money online?,1
67778,"I know html, css how can I earn money with this?",Why are there barely any female Jedi or force users in the first two Star Wars trilogies?,0
308123,What was actually there in bottle labeled 'Granny's peach tea' in Batman v Superman Dawn of justice movie?,Batman v Superman: Dawn of Justice (2016 movie): Is Gal Gadot the right actress to play Wonder Woman?,0
311130,Why dogs tend to pee on the tyres of the parked vehicles?,Why do dogs pee on tyres?,1
357847,What are the pros and cons of having a relationship with a work colleague?,What are the pros and cons of marrying a work colleague?,0
335288,How can I make SMTP server using VPS for mailing?,How do you set up Yahoo Mail on a mobile device with POP or SMTP servers?,0
81860,"Who are the ""1%ers""?",Who are the 1% of 1%'ers?,0
220501,How can I find the last random number in series?,How can I find the pattern of a given series of numbers?,0
329068,What is the WORST thing that ever happened to you for doing something good or nice?,What was the worst thing happened to you for being nice?,1
299485,How do you get internships?,What are the best ways to get internships?,1
343495,Where can I find investors if I have a good Idea?,How do I find an investors for my show idea?,1
189059,What are some racing gear?,What equipment do I need for fpv drone racing?,0
297382,What if my girlfriend still talks to her ex?,What should I do if my girlfriend talks to her ex?,1
133174,What are some good penny stock marijuana stocks?,What are some good marijuana penny stocks to look into?,0
31353,What Ivy League school has best computer science program?,Which Ivy League College has the best computer science program?,1
88576,What is the price to rent a car for a private taxi in London?,How can I rent a car in London?,0
315369,What I do if Iwant to learn English well?,How can I learn to speak English fluently?,1
385358,Why India has managed to progress over the past sixty years and why Pakistan remains so far behind?,Why has India left Pakistan behind?,1
105596,What are some hilarious examples of pranks gone wrong?,How does it feel to be on the receiving end of a prank gone horribly wrong?,1
177149,Is the superfluid dark matter proposed by Justin Khoury what ripples when Galaxy clusters collide and what waves in a double slit experiment?,Is there evidence of the dark matter every time a double slit experiment is performed? Is the dark matter what waves?,1
44089,What are some ways to clean something without getting it wet?,Cleaning: What are good ways to get rid of the smell in a new down comforter?,0
137390,Is it unsafe to eat moldy fruit?,Is it healthy to eat seedless fruits?,0
273251,For how many minutes can a man do intercourse?,How many minutes can a man take when having sex?,1
195247,Can I get a job as a data analyst or data scientist at the fresher level? Do companies recruit freshers for such a job description?,What are the Core responsibilities of a fresher data scientist and data analyst?,0
241987,How does the ban on 500 and 1000 rupee notes helps to identify black money and corruption?,How is India fighting corruption by scrapping 500 and 1000 rupee notes?,1
388960,"If I live in a computer simulation, how can I prove that to another user/person?",How do we know that we're not living in a computer simulation?,0
142823,What were the best movies of 2016? Why?,Which is the best movie of year 2016?,1
205283,Where can one buy preserved moss in India?,Can one legally buy an elephant as a pet in India?,0
398822,Why do people call Trump racist?,"Do you think Donald Trump is a racist? If so, why?",1
196480,What do Pakistani people think about the Uri attack on 18th September 2016?,What do Pakistani citizens think about Uri Attack?,1
33888,Does Sweden count people on gov training as employed?,Is Quora as political in non-election years?,0
146212,What is the best way to be honest?,How can I be honest with myself?,0
18465,I am female suffering from 8 to 9 mms calculus in left kidney what to do to resolve?,What should I do to concentrate on my goal even though I am working for an MNC in India?,0
354177,What steps to take if sensing some spirits or ghosts?,"Do animals see ghosts, spirits or other phenomena unseen by humans?",0
49610,"What does ""a.o.b.f.p."" after a doctor's name mean?","What does ""d.o."" after a doctor's name mean?",0
318277,"My brother vaped in his room 2 hours ago, if I walk in there, will I get high at all?","If my brother vapes weed in his room with the door locked and after he is done, I walk in the room, will I get high?",1
81446,Which are the best universities in the world for pursuing an MS in computer science?,Which are the best US universities for MS in computer science?,1
378209,How can I activate iPhone when it is iCloud locked?,Can the iCloud lock be broken?,0
303993,How do I increase our height after 21?,How can you increase your height?,0
153478,What is an isotherm?,What is adiabatic elasticity and isothermal elasticity?,0
225298,How good is Mika Singh?,Which is the best song of Mika Singh and why?,0
232198,Why do girls like bad boys?,Why do girls love only bad boys?,1
88665,Did the Americans and Russians literally fight together in WW II on the same battlefield?,At the height of WW II who was the most powerful?,0
207330,How exactly is the proposed GST bill beneficial for our economy?,"What do you think of the GST 4 -tier structure of 5%, 12%, 18% and 28%? Will it be beneficial for the economy?",1
322750,Why do some pillars have round cross section and some rectangular cross section?,"B/w Under reinforced section and Over reinforced section, which section can bear more load? Why it is prefered to design a section as an URS section?",0
120896,I miss my ex? What should I do?,I miss my ex so much how do I stop thinking about it?,0
245152,What percentage of profits do publishing companies take to publish a book?,"If I want to publish a book in China, what book or what kinds of book can be most profitable?",0
346171,"Was there time when the Big Bang happened, or not?",What happened at the time of the Big Bang?,0
113014,How do you not waste time on the internet?,How do I stop wasting my time on the internet?,1
221530,What are the advantages of the city which is full of high buildings?,What are the advantages of the city which is full of low buildings?,0
355548,"What do you do when you realize that you are no one's 1st priority, that everyone you know values and prioritizes someone over you?",Which one thing in life is not over-rated?,0
52488,What is passive transport?,What is passive transport in cells?,0
345548,Why are saltwater taffy imported in Japan?,Why is Saltwater taffy candy imported in Mongolia?,1
202982,Should I stay with someone I love but doesn't love me back?,What you should do if you love someone who doesn't love you back?,1
358165,Was Princess Diana killed by the British secret service?,Does anyone believe Princess Diana death was an accident and the British monarchy didn't order her death?,1
403261,How do you download someone's hike messenger profile pic to your mobile?,How do I get 10 millions downloads for my mobile app?,0
214788,What are some very important topics in class 11 PCB on which questions arised in NEET?,I want to book matrimonial Ad in Times of India in Nagpur edition. How can I do that?,0
238243,How can I grow beard easily?,How can I increase my beard growth easily?,1
356860,How can I get more credits on Quora and who can give me some?,How do I give someone Quora credits?,0
333029,Can both we take mass gainer and whey protein?,Should I take mass gainer?,0
79488,"What company provided the storage and compute hardware to support the NSA ""program""? Would the sheer amount of resources not have been suspicious to the vendor?",Is it possible for a cloud storage company to be NSA protected or that they have no access?,0
20774,Which is the best camera phone under 12000?,Which is the best phone under 12000?,0
183985,Google Nexus 7: How to change default action for playing video from Engadget app? I have chosen YouTube but it doesn't play. My HTC One X uses streaming media player. How to change this default action to streaming media player?,I want to do a project to boot my Nexus 7 tablet with Android and Linux with a few apps of my choice. How can I do this?,0
389576,Can I upload a selfie on facebook that I took with a pediatric patient? Is it against patient confidentiality ethics?,Can I upload a selfie in Facebook that I took with a paediatric patient? Is it against patient confidentiality ethics?,1
304595,How do I write a book? How to start? What knowledge should be gained before writing a book?,How can I write a book? How to start?,1
162657,How is percolation important in hydrology?,"In hydrology, what is percolation?",0
138197,SQL Server 2008: Why we can't use dml statements in functions?,How do I use SQL Server 2008 for a high concurrent operation?,0
37982,What are the most common clichés in fiction writing?,Can you list some fiction clichés (all genres) that annoy you?,0
332549,"Why did the British go on ""a God mission"" to end slavery to replace it with indentured labor?","Why it is that powerful Gods of India are all in a distinct place, so that one has to work hard to reach there?",0
367165,How do I make landing page tumblr?,"In nature, do insects with two wings that fold back, favor having the left or right one on top?",0
381955,Why is it essential to use a renewable source of energy?,Why should we use renewable energy resources?,0
186364,"If someone knows your bank a/c number, can they frame you for fraud by transferring a large sum of money to your bank a/c?","Would you let your wife/husband go on one platonic date with someone else if that person was willing to pay your partner a large sum of money (10k,100k)? What about 1MM or 1Bln?",0
233413,How should I propose a girl who is my crush?,What are some ways to propose a teenage crush?,0
368508,Why was my most recent question flagged as ‘needing improvement’? Please see details for original question.,Why is my question being marked as needs to be improved?,0
298608,What is the one thing that you want to change about yourself?,What is one thing you wish you could change about yourself?,1
309951,What's the best self defense martial art?,What martial arts is best for self-defense?,1
328343,What should I do after I have achieved the state of Yoga Nidra?,Why all media in India focuses on Delhi? I mean 70% of only Delhi news.What about rest of India?,0
278675,How do I overcome impostor syndrome as a Web Developer?,How do I beat the impostor syndrome out of my life?,0
150095,How can I propose to my crush?,What are the best ways to propose to your crush?,0
182173,"How do I gain access to a person's instagram photos, if their account is private?",How do I make my Instagram account private?,0
185403,Who is the most Machiavellian U.S. politician?,U.S. Congress: What is it like to be an American politician?,0
326039,"As a venture capital investor, if you had an opportunity to invest in Google but passed, what was your rationale?","As a venture capital investor, if you had an opportunity to invest in Cloudera but passed, what was your rationale?",0
339801,What applications have practical Byzantine fault tolerance (PBFT) algorithms been used for?,Distributed Systems: How do Byzantine Fault Tolerance algorithms work?,0
10591,I cant get good answers on Quora?,Why are my questions not answered on Quora?,0
364609,How much time is required for the entire selection process of IAS?,How much time should I spend in study to clear IAS exam?,0
380435,What are colors that look good with brown?,What color dress will look good with Brown falts/bellies?,0
210478,What is the function of diffusion in the circulatory system?,What is the function of blood capillaries in the circulatory system?,0
307946,How does Starbucks train its baristas?,Why is Starbucks so popular?,0
348673,How can someone with a mechanical engineering background start a web based startup?,How can I start a genetic engineering/DNA-based startup with almost no money but good technical knowledge?,0
209198,Which software do professional photographers use to edit their photos?,How do I edit a photo as professional in photoshop?,0
188959,"What is the Sahara, and how do the average temperatures there compare to the ones in the Great Victoria Desert?","What is the Sahara, and how do the average temperatures there compare to the ones in the Registan Desert?",1
331021,Why are there evil people?,Why are most people so evil today?,1
259936,Why is the Bible copyrighted?,Why does the Bible have a copyright in it?,1
268333,Would a Donald Trump presidency really be so bad?,What would a Donald Trump presidency look like?,1
106510,What led to the Green Revolution in India? How did it occur and what effects did it have on India?,How did the Green Revolution started in India? When did it start and end?,1
384626,How can we get rid of mobile addiction?,How do I overcome mobile addiction?,1
369543,Could Quora be more liberally biased?,Do Quora users tend to be more liberally biased than the population as a whole?,0
4200,"What is Fiverr, and how do they make money?",How does Fiverr make money?,1
170084,6 digit code - digits 0-9. How many combinations can be made?,Between 0-9 how many possible 4digit combinations can be made? (and how is calculated),0
18983,How would an American go about moving to Northern Ireland?,Why did conflict break out in Northern Ireland?,0
214108,What is the best way to get traffic on your website?,How do I build traffic to my website?,1
203555,What are the best universities in Germany for a master's in mechanical engineering for Indian students?,Which are the best universities in Germany for getting a degree in mechanical engineering?,0
153385,How do I find a GOOD therapist that specializes in attachment theory/attachment issues?,What is the best way to find a good therapist at my school?,1
141490,What is the quickest way to lose belly fat?,Is there any fastest way to reduce some amount of belly fat?,1
304926,Do Newton's Laws apply in space?,"Do Newton's Laws of Motion & the Law of Inertia apply to electrons passing to and fro through a finite conductor, causing it to radiate at both ends?",0
276386,Which is better Fifa 17 or PES 17?,Which one is better: FIFA 17 or PES 17?,1
268977,What are the unique traits of a German Shepherd/Labrador mix?,What are the unique traits of a German Shepherd/Husky/Labrador mix?,0
13692,How do I become a loco pilot?,What purpose do the rings exchanged by loco pilots in Indian Railways serve?,0
107445,How do you share a video from Facebook to WhatsApp?,How do I send a video from Facebook to whatsapp using an android phone?,0
364246,Whose idea is the demonetization of 500 and 1000 rupees notes?,Who advised Modi to demonetize 500 and 1000 rupee notes?,0
47258,How can I delete my Quora account in one minute?,How do I delete Quora account?,1
95735,When does president address the joint sitting of parliament?,What is a joint session of parliament?,0
394708,When and how will atrocities on Hindu dalits stop in India by the so called upper castes?,If (x+y) =7 and xy=127 find x^2-y^2?,0
374731,"Is it possible to believe in God, but not be religious?",How can one believe in science and religion at the same time?,0
95870,"What natural resources does the Canadian shield have, and how do they differ from the on in the Egyptian shield?","What natural resources does the Canadian shield have, and how do they differ from the on in the Cuban shield?",0
108234,What is best online clothing store for kids?,What are the top 3 Online clothing stores for women's?,0
130267,How similar is Theresa May to Hillary Clinton?,"What does Theresa May have in common with Hillary Clinton, and how would the Special Relationship evolve with the two of them at the helm?",1
27915,How can I lose weight fast and never gain it again?,I have to reduce my weight by 15 kgs. What is the healthy rate at which I should aim to reduce per month? 21yr old-female-66kg-5.2ft?,0
203209,How do I re-install system apps in rooted android device?,Why are some system apps not installed on my Android?,0
296965,How do you format the title of a poem in an essay?,What is the font used on the cover of the book titled: Poems from a Child's Heart: Anna's Story?,0
86106,What's the worst case scenario after Donald Trump's hypothetical win?,How do you expect to react if Donald Trump wins the U.S. Presidential Election?,0
384350,What's the nicest thing you have ever done for anyone?,What is the nicest thing you've ever done?,1
207807,Why doesn't the water bind with Cl when HCl dissolves in it like it binds with Cl when NaCl dissolves in it?,How can I convince myself that I am the best?,0
24055,How do you create an intuitive Android App tour (The slides we get on opening the app for the first time after installing)? One of the app tour that I found really intuitive was that of Grofers.,How can I get more installs for my paid Android app?,0
23178,What are some of the strongest proofs of God's existence?,Is proof of God's existence overwhelming?,0
187801,"What does the Italian word ""mangia"" translate to in English?","What is the English translation of the Spanish word ""también""?",0
267068,"If there is a multiverse, could those multiverses be in a multiverse?",Does the multiverse have a multiverse?,0
89035,What can India and Indians do to attract more international tourists?,What can India do to attract more international tourists?,1
256874,What are the chances of an Indian to get a job in France after doing MBA either from insead or HEC paris?,What is the recruitment scene for non-Europeans after an MBA from HEC Paris?,0
235200,Does Darkseid have a weakness?,What is Darkseid's weakness?,1
85241,What fate karma for love?,What is the fate for love?,0
101557,Which one between automation anywhere and blueprism is better for banking automation and in which areas of banking?,What are key differences between the leading two RPA providers Automation Anywhere and Blue Prism?,0
288835,Is there any cure for overattachment?,Is there any cure for Osteomyolitis?,0
215869,"In your opinion, which foods provide the perfect umami flavor?",What is the cost of a food flavor expert?,0
263652,What marks will I get if I write 120 words in TCS verbal ability test?,What marks will I get if I write 93 words in TCS verbal ability test?,0
314260,How can I speak fluent English with accuracy?,How can I learn to speak a fluent English?,1
85261,How do I remove recommended news from UC browser Android?,"Which is the best browser, Google Chrome or UC Browser?",0
269806,What can I do to stop lucid dreaming?,What are some ways to stop lucid dreaming?,1
47703,What makes a gene dominant or recessive?,What is the difference between dominant and recessive alleles?,0
227556,Which is India's national language?,What is the national language of India?,1
147884,Shipping: Which are the important sea lanes in the world?,How hard would it be to start a sea cargo business if money to buy cargo ships were not a concern? How profitable would it be?,0
13417,When will euthanasia be legal in India?,Is Euthanasia legal in India for pets?,0
100092,What happened to Madame Tussaud's original collection of Napoleon relics?,How is Napoleon seen today?,0
256761,What are the applications of eigen values?,What are the applications eigen values and vectors?,0
291005,Has there ever been a third political party in the history of America whose candidate had a real chance to become the president?,Why do people want to work for Google and Facebook rather than Apple and Microsoft?,0
310973,What are common required and elective courses in information systems?,Is information systems a business degree?,0
209639,What are the best habits to have?,What are some good habits of designers?,0
81436,Why should one pursue management education?,How can I pursue law after engineering? What are the courses available?,0
383888,"What is a suitable solar panel installation provider near San Clemente, California CA?","Which is a good solar panel installation provider near San Ramon, California CA?",0
